2025-03-22 17:06:10 - src.utils.logger - INFO - プログラムを開始
2025-03-22 17:06:10 - src.utils.logger - WARNING - 入力ディレクトリが存在しません: src/input
2025-03-22 17:06:10 - src.utils.logger - INFO - 入力ディレクトリを作成しました: src/input
2025-03-22 17:06:10 - src.utils.logger - WARNING - PowerPointファイルが見つかりません: src/input
2025-03-22 17:06:16 - src.utils.logger - INFO - プログラムを開始
2025-03-22 17:06:16 - src.utils.logger - WARNING - PowerPointファイルが見つかりません: src/input
2025-03-22 17:15:11 - src.utils.logger - INFO - プログラムを開始
2025-03-22 17:15:11 - src.utils.logger - ERROR - 予期せぬエラーが発生
Traceback (most recent call last):
  File "C:\Users\gwsgs\workSpace\check_pptx\main.py", line 77, in main
    if not os.path.exists(input_dir):
                          ^^^^^^^^^
NameError: name 'input_dir' is not defined
2025-03-22 17:15:27 - src.utils.logger - INFO - プログラムを開始
2025-03-22 17:15:27 - src.utils.logger - ERROR - 予期せぬエラーが発生
Traceback (most recent call last):
  File "C:\Users\gwsgs\workSpace\check_pptx\main.py", line 83, in main
    pptx_files = [f for f in os.listdir(input_dir) if f.endswith(".pptx")]
                                        ^^^^^^^^^
NameError: name 'input_dir' is not defined
2025-03-22 17:16:09 - src.utils.logger - INFO - プログラムを開始
2025-03-22 17:16:09 - src.utils.logger - WARNING - PowerPointファイルが見つかりません: C:\Users\gwsgs\workSpace\check_pptx\assets\temp
2025-03-22 17:16:14 - src.utils.logger - INFO - プログラムを開始
2025-03-22 17:16:14 - src.utils.logger - INFO - ファイル処理開始: 20250322_171614_第07回_DL講義資料_RNN.pptx
2025-03-22 17:16:14 - src.utils.logger - INFO - PowerPointファイルの読み込みを開始: C:\Users\gwsgs\workSpace\check_pptx\assets\temp\20250322_171614_第07回_DL講義資料_RNN.pptx
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 1 の処理を開始
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 1 の処理が完了
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 2 の処理を開始
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 2 の処理が完了
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 3 の処理を開始
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 3 の処理が完了
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 4 の処理を開始
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 4 の処理が完了
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 5 の処理を開始
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 5 の処理が完了
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 6 の処理を開始
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 6 の処理が完了
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 7 の処理を開始
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 7 の処理が完了
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 8 の処理を開始
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 8 の処理が完了
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 9 の処理を開始
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 9 の処理が完了
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 10 の処理を開始
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 10 の処理が完了
2025-03-22 17:16:14 - src.utils.logger - DEBUG - スライド 11 の処理を開始
2025-03-22 17:16:15 - src.utils.logger - DEBUG - スライド 11 の処理が完了
2025-03-22 17:16:15 - src.utils.logger - DEBUG - スライド 12 の処理を開始
2025-03-22 17:16:15 - src.utils.logger - DEBUG - スライド 12 の処理が完了
2025-03-22 17:16:15 - src.utils.logger - DEBUG - スライド 13 の処理を開始
